Kode,Nama,Provinsi
33.06,KAB. PURWOREJO,JAWA TENGAH
33.07,KAB. WONOSOBO,JAWA TENGAH
33.08,KAB. MAGELANG,JAWA TENGAH
33.09,KAB. BOYOLALI,JAWA TENGAH
33.10,KAB. KLATEN,JAWA TENGAH
33.11,KAB. SUKOHARJO,JAWA TENGAH
33.12,KAB. WONOGIRI,JAWA TENGAH
33.13,KAB. KARANGANYAR,JAWA TENGAH
33.14,KAB. SRAGEN,JAWA TENGAH
33.15,KAB. GROBOGAN,JAWA TENGAH
33.16,KAB. BLORA,JAWA TENGAH
33.17,KAB. REMBANG,JAWA TENGAH
33.18,KAB. PATI,JAWA TENGAH
33.19,KAB. KUDUS,JAWA TENGAH
33.20,KAB. JEPARA,JAWA TENGAH
33.21,KAB. DEMAK,JAWA TENGAH
33.22,KAB. SEMARANG,JAWA TENGAH
33.23,KAB. TEMANGGUNG,JAWA TENGAH
33.24,KAB. KENDAL,JAWA TENGAH
33.25,KAB. BATANG,JAWA TENGAH
33.26,KAB. PEKALONGAN,JAWA TENGAH
33.27,KAB. PEMALANG,JAWA TENGAH
33.28,KAB. TEGAL,JAWA TENGAH
33.29,KAB. BREBES,JAWA TENGAH
33.71,KOTA MAGELANG,JAWA TENGAH
33.72,KOTA SURAKARTA,JAWA TENGAH
33.73,KOTA SALATIGA,JAWA TENGAH
33.74,KOTA SEMARANG,JAWA TENGAH
33.75,KOTA PEKALONGAN,JAWA TENGAH
33.76,KOTA TEGAL,JAWA TENGAH
34.01,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA
34.02,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
34.03,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
34.04,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
34.71,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
35.01,KAB. PACITAN,JAWA TIMUR
35.02,KAB. PONOROGO,JAWA TIMUR
35.03,KAB. TRENGGALEK,JAWA TIMUR
35.04,KAB. TULUNGAGUNG,JAWA TIMUR
35.05,KAB. BLITAR,JAWA TIMUR
35.06,KAB. KEDIRI,JAWA TIMUR
35.07,KAB. MALANG,JAWA TIMUR
35.08,KAB. LUMAJANG,JAWA TIMUR
35.09,KAB. JEMBER,JAWA TIMUR
35.10,KAB. BANYUWANGI,JAWA TIMUR
35.11,KAB. BONDOWOSO,JAWA TIMUR
35.12,KAB. SITUBONDO,JAWA TIMUR
35.13,KAB. PROBOLINGGO,JAWA TIMUR
35.14,KAB. PASURUAN,JAWA TIMUR
35.15,KAB. SIDOARJO,JAWA TIMUR
35.16,KAB. MOJOKERTO,JAWA TIMUR
35.17,KAB. JOMBANG,JAWA TIMUR
35.18,KAB. NGANJUK,JAWA TIMUR
35.19,KAB. MADIUN,JAWA TIMUR
35.20,KAB. MAGETAN,JAWA TIMUR
35.21,KAB. NGAWI,JAWA TIMUR
35.22,KAB. BOJONEGORO,JAWA TIMUR
35.23,KAB. TUBAN,JAWA TIMUR
35.24,KAB. LAMONGAN,JAWA TIMUR
35.25,KAB. GRESIK,JAWA TIMUR
35.26,KAB. BANGKALAN,JAWA TIMUR
35.27,KAB. SAMPANG,JAWA TIMUR
35.28,KAB. PAMEKASAN,JAWA TIMUR
35.29,KAB. SUMENEP,JAWA TIMUR
35.71,KOTA KEDIRI,JAWA TIMUR
35.72,KOTA BLITAR,JAWA TIMUR
35.73,KOTA MALANG,JAWA TIMUR
35.74,KOTA PROBOLINGGO,JAWA TIMUR
35.75,KOTA PASURUAN,JAWA TIMUR
35.76,KOTA MOJOKERTO,JAWA TIMUR
35.77,KOTA MADIUN,JAWA TIMUR
35.78,KOTA SURABAYA,JAWA TIMUR
35.79,KOTA BATU,JAWA TIMUR
36.01,KAB. PANDEGLANG,BANTEN
36.02,KAB. LEBAK,BANTEN
36.03,KAB. TANGERANG,BANTEN
36.04,KAB. SERANG,BANTEN
36.71,KOTA TANGERANG,BANTEN
36.72,KOTA CILEGON,BANTEN
36.73,KOTA SERANG,BANTEN
36.74,KOTA TANGERANG SELATAN,BANTEN
51.01,KAB. JEMBRANA,BALI
51.02,KAB. TABANAN,BALI
51.03,KAB. BADUNG,BALI
51.04,KAB. GIANYAR,BALI
51.05,KAB. KLUNGKUNG,BALI
51.06,KAB. BANGLI,BALI
51.07,KAB. KARANGASEM,BALI
51.08,KAB. BULELENG,BALI
51.71,KOTA DENPASAR,BALI
52.01,KAB. LOMBOK BARAT,NUSA TENGGARA BARAT
52.02,KAB. LOMBOK TENGAH,NUSA TENGGARA BARAT
52.03,KAB. LOMBOK TIMUR,NUSA TENGGARA BARAT
52.04,KAB. SUMBAWA,NUSA TENGGARA BARAT
52.05,KAB. DOMPU,NUSA TENGGARA BARAT
52.06,KAB. BIMA,NUSA TENGGARA BARAT
52.07,KAB. SUMBAWA BARAT,NUSA TENGGARA BARAT
52.08,KAB. LOMBOK UTARA,NUSA TENGGARA BARAT
52.71,KOTA MATARAM,NUSA TENGGARA BARAT
52.72,KOTA BIMA,NUSA TENGGARA BARAT
53.01,KAB. KUPANG,NUSA TENGGARA TIMUR
53.02,KAB. TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR
53.03,KAB. TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR
53.04,KAB. BELU,NUSA TENGGARA TIMUR
53.05,KAB. ALOR,NUSA TENGGARA TIMUR
53.06,KAB. FLORES TIMUR,NUSA TENGGARA TIMUR
53.07,KAB. SIKKA,NUSA TENGGARA TIMUR
53.08,KAB. ENDE,NUSA TENGGARA TIMUR
53.09,KAB. NGADA,NUSA TENGGARA TIMUR
53.10,KAB. MANGGARAI,NUSA TENGGARA TIMUR
53.11,KAB. SUMBA TIMUR,NUSA TENGGARA TIMUR
53.12,KAB. SUMBA BARAT,NUSA TENGGARA TIMUR
53.13,KAB. LEMBATA,NUSA TENGGARA TIMUR
53.14,KAB. ROTE NDAO,NUSA TENGGARA TIMUR
53.15,KAB. MANGGARAI BARAT,NUSA TENGGARA TIMUR
53.16,KAB. NAGEKEO,NUSA TENGGARA TIMUR
53.17,KAB. SUMBA TENGAH,NUSA TENGGARA TIMUR
53.18,KAB. SUMBA BARAT DAYA,NUSA TENGGARA TIMUR
53.19,KAB. MANGGARAI TIMUR,NUSA TENGGARA TIMUR
53.20,KAB. SABU RAIJUA,NUSA TENGGARA TIMUR
53.21,KAB. MALAKA,NUSA TENGGARA TIMUR
53.71,KOTA KUPANG,NUSA TENGGARA TIMUR
61.01,KAB. SAMBAS,KALIMANTAN BARAT
61.02,KAB. MEMPAWAH,KALIMANTAN BARAT
61.03,KAB. SANGGAU,KALIMANTAN BARAT
61.04,KAB. KETAPANG,KALIMANTAN BARAT
61.05,KAB. SINTANG,KALIMANTAN BARAT
61.06,KAB. KAPUAS HULU,KALIMANTAN BARAT
61.07,KAB. BENGKAYANG,KALIMANTAN BARAT
61.08,KAB. LANDAK,KALIMANTAN BARAT
61.09,KAB. SEKADAU,KALIMANTAN BARAT
61.10,KAB. MELAWI,KALIMANTAN BARAT
61.11,KAB. KAYONG UTARA,KALIMANTAN BARAT
61.12,KAB. KUBU RAYA,KALIMANTAN BARAT
61.71,KOTA PONTIANAK,KALIMANTAN BARAT
61.72,KOTA SINGKAWANG,KALIMANTAN BARAT
62.01,KAB. KOTAWARINGIN BARAT,KALIMANTAN TENGAH
62.02,KAB. KOTAWARINGIN TIMUR,KALIMANTAN TENGAH
62.03,KAB. KAPUAS,KALIMANTAN TENGAH
62.04,KAB. BARITO SELATAN,KALIMANTAN TENGAH
62.05,KAB. BARITO UTARA,KALIMANTAN TENGAH
62.06,KAB. KATINGAN,KALIMANTAN TENGAH
62.07,KAB. SERUYAN,KALIMANTAN TENGAH
62.08,KAB. SUKAMARA,KALIMANTAN TENGAH
62.09,KAB. LAMANDAU,KALIMANTAN TENGAH
62.10,KAB. GUNUNG MAS,KALIMANTAN TENGAH
62.11,KAB. PULANG PISAU,KALIMANTAN TENGAH
62.12,KAB. MURUNG RAYA,KALIMANTAN TENGAH
62.13,KAB. BARITO TIMUR,KALIMANTAN TENGAH
62.71,KOTA PALANGKARAYA,KALIMANTAN TENGAH
